N. POZZO;DATA;LIVELLO STATICO - m s.l.m.;LIVELLO DA PR - m;NOTE LIVELLO
56;27/07/1999;5,22;-2,6;-
56;24/11/1999;5,97;-1,85;-
56;31/01/2000;4,5;-3,32;-
56;19/04/2000;5,87;-1,95;-
56;19/07/2000;3,44;-4,38;-
56;13/11/2000;4,3;-3,52;-
56;05/02/2001;5,2;-2,62;-
56;18/04/2001;5,09;-2,73;-
56;16/07/2001;4,7;-3,12;-
56;05/11/2001;4,55;-3,27;-
56;28/01/2002;4,8;-3,02;-
56;06/05/2002;4,8;-3,02;-
56;22/07/2002;4,8;-3,02;-
56;06/11/2002;4,8;-3,02;-
56;27/01/2003;4,56;-3,26;-
56;29/04/2003;5,8;-2,02;-
56;22/07/2003;3,95;-3,87;-
56;03/11/2003;4,24;-3,58;-
56;27/01/2004;4,65;-3,17;-
56;03/05/2004;4,28;-3,54;-
56;02/08/2004;4,52;-3,3;-
56;16/11/2004;4,74;-3,08;-
56;31/01/2005;;;N.R.
56;29/04/2005;4,66;-3,16;-
56;29/07/2005;4,24;-3,58;-
56;08/11/2005;4,9;-2,92;-
56;06/02/2006;;;N.R.
56;05/06/2006;4,7;-3,12;-
56;27/07/2006;4,34;-3,48;-
56;06/11/2006;4,57;-3,25;-
56;07/02/2007;4,91;-2,91;-
56;27/04/2007;4,84;-2,98;-
56;26/07/2007;4,34;-3,48;-
56;08/11/2007;4,22;-3,6;-
56;12/02/2008;4,8;-3,02;-
56;21/04/2008;4,62;-3,2;-
56;17/07/2008;4,72;-3,1;-
56;12/11/2008;4,52;-3,3;-
56;05/02/2009;5,02;-2,8;-
56;11/05/2009;5,29;-2,53;-
56;20/07/2009;4,62;-3,2;-
56;03/11/2009;4,77;-3,05;-
56;04/02/2010;4,86;-2,96;-
56;22/04/2010;5,21;-2,61;-
56;20/07/2010;4,62;-3,2;-
56;10/11/2010;5,14;-2,68;-
56;25/01/2011;5,02;-2,8;-
56;20/04/2011;4,87;-2,95;-
56;11/07/2011;4,52;-3,3;-
56;02/11/2011;4,38;-3,44;-
56;20/02/2012;4,88;-2,94;-
56;16/04/2012;4,72;-3,1;-
56;10/07/2012;4,15;-3,67;-
56;05/11/2012;4,29;-3,53;-
56;29/01/2013;4,22;-3,6;-
56;17/04/2013;4,71;-3,11;-
56;25/07/2013;4,38;-3,44;-
56;24/10/2013;4,36;-3,46;-
56;31/01/2014;5,37;-2,45;-
56;15/04/2014;5,72;-2,1;-
56;22/07/2014;5,92;-1,9;-
56;11/11/2014;6,26;-1,56;-
56;02/02/2015;6,77;-1,05;-
56;07/05/2015;6,29;-1,53;-
56;24/07/2015;5,87;-1,95;-
56;28/10/2015;5,26;-2,56;-
56;01/02/2016;6,8;-1,02;-
56;18/04/2016;;;N.R.
56;15/07/2016;4,6;-3,22;-
56;16/11/2016;6,2;-1,62;-
56;27/01/2017;6,77;-1,05;-
56;12/04/2017;4,8;-3,02;-
56;21/07/2017;5,6;-2,22;-
56;08/11/2017;5,11;-2,71;-
56;26/01/2018;5,29;-2,53;-
56;09/04/2018;4,67;-3,15;-
56;16/07/2018;;;N.R.
56;24/10/2018;4,65;-3,17;-
56;23/01/2019;5,01;-2,81;-
56;08/04/2019;4,8;-3,02;-
56;16/07/2019;5,59;-2,23;-
56;22/10/2019;4,45;-3,37;-
56;30/01/2020;4,95;-2,87;-
56;08/04/2020;5,82;-2;-
56;16/07/2020;5,5;-2,32;-
56;29/10/2020;4,52;-3,3;-
56;22/01/2021;4,5;-3,32;-
